Ticker,Sector,LatestQuarter,Beta,TrailingPE,ForwardPE,ReturnOnEquityTTM,PriceToBookRatio,PEGRatio,ProfitMargin,EPS,DividendYield,EVToEBITDA
EPAM,TECHNOLOGY,2023-09-30,1.454,29.31,46.3,0.157,7.17,1.33,0.0996,8.03,0,25.83
POOL,TRADE & SERVICES,2023-09-30,0.964,23.81,-,0.417,10.98,1.81,0.0965,13.88,0.0133,13.65
CAG,MANUFACTURING,2023-08-31,0.596,12.36,15.38,0.123,2.168,1.828,0.088,2.25,0.0503,19.68
LYV,TRADE & SERVICES,2023-09-30,1.314,58.35,66.67,0.555,31.01,2.65,0.0269,1.5,0.0421,16.5
SNA,MANUFACTURING,2023-09-30,1.059,14.66,14.14,0.222,2.879,1.874,0.197,18.42,0.0276,9.66
FWONK,TECHNOLOGY,2023-09-30,1.083,35.34,84.75,0.0739,2.162,-0.35,0.182,1.92,0,28.46
LDOS,TECHNOLOGY,2023-07-31,0.763,97.69,15.38,0.0379,3.573,2.34,0.0097,1.06,0.0147,13.7
TSN,MANUFACTURING,2023-06-30,0.818,49.95,9.61,0.0172,1.175,2.469,0.0064,0.94,0.0409,5.32
WRB,FINANCE,2023-09-30,0.585,13.74,15.2,0.206,3.053,1.346,0.115,4.96,0.0065,-
TRU,TRADE & SERVICES,2023-09-30,1.437,-,16.42,-0.0599,2.966,1.426,-0.0653,-1.35,0.008,16.5
K,MANUFACTURING,2023-09-30,0.435,21.77,17.54,0.185,5.87,2.985,0.0521,2.38,0.0432,12.47
DECK,MANUFACTURING,2023-09-30,0.948,27.32,16.56,0.37,6.51,3.71,0.157,23.16,0.019,15.84
SUI,REAL ESTATE & CONSTRUCTION,2023-09-30,0.744,63.38,58.14,0.0316,2.296,29.63,0.0729,1.81,0.0324,22.5
AMCR,MANUFACTURING,2023-09-30,0.862,13.95,15.48,0.246,4.743,None,0.0671,0.65,0.0551,13.27
RIVN,MANUFACTURING,2023-09-30,None,-,-,-0.435,1.639,None,-1.49,-6.02,0,-1.995
OVV,ENERGY & TRANSPORTATION,2023-09-30,3.458,4.472,3.61,0.319,1.901,None,0.232,9.97,0.0269,3.222
APA,ENERGY & TRANSPORTATION,2023-09-30,3.497,7.37,4.174,1.029,24.13,0.17,0.181,5.01,0.0271,2.787
WSO,TRADE & SERVICES,2023-09-30,0.868,24.88,20.62,0.278,5.4,4.622,0.0815,15.13,0.026,12.48
NDSN,TECHNOLOGY,2023-07-31,0.939,25.9,23.87,0.21,6.14,1.864,0.193,8.69,0.0121,18.57
CSL,MANUFACTURING,2023-09-30,0.882,18.45,12.22,0.251,4.239,0.719,0.128,14.55,0.0127,10.34
UAL,ENERGY & TRANSPORTATION,2023-09-30,1.495,4.397,6.8,0.416,2.677,1.058,0.0545,8.64,0.0383,48.45
OKTA,TECHNOLOGY,2023-07-31,0.962,-,263.16,-0.107,2.014,10.66,-0.287,-3.69,0,-14.6
LNT,ENERGY & TRANSPORTATION,2023-09-30,0.571,17.79,19.38,0.106,2.246,2.934,0.167,2.73,0.0373,13.44
SWK,MANUFACTURING,2023-09-30,1.326,-,17.24,-0.0113,1.313,1.368,-0.0032,-0.75,0.0381,16.07
MANH,TECHNOLOGY,2023-09-30,1.509,80.59,48.08,0.812,38.92,2.176,0.186,2.66,0.0072,53.02
DPZ,TRADE & SERVICES,2023-09-30,0.846,25.91,28.01,0,-,2.55,0.116,14.61,0.0128,21.15
TRMB,LIFE SCIENCES,2023-09-30,1.529,31,18.62,0.0816,3.5,1.862,0.0897,1.35,0.0141,17.86
GGG,TECHNOLOGY,2023-09-30,0.775,25.7,25.51,0.263,6.47,2.622,0.239,3.03,0.0121,18.38
COIN,FINANCE,2023-09-30,2.657,-,60.24,-0.127,1.623,1.53,-0.28,-3.2,0,-5.33
CCL,ENERGY & TRANSPORTATION,2023-08-31,2.455,-,11.01,-0.212,1.375,1.41,-0.081,-1.29,0.152,-11.92
RPM,LIFE SCIENCES,2023-08-31,0.972,24.62,22.42,0.239,6.58,2.24,0.0696,3.97,0.0188,17.85
CFG,FINANCE,2023-09-30,1.363,6.23,7.27,0.09,0.91,0.263,0.267,4.04,0.0667,-
IP,MANUFACTURING,2023-09-30,1.032,15.18,10.81,0.0824,1.391,0.902,0.0131,2.18,0.0559,6.8
RBA,TRADE & SERVICES,2023-09-30,0.89,58.96,22.83,0.0503,5.11,1.554,0.0543,1.02,0.018,11.79
LW,MANUFACTURING,2023-08-31,0.645,13.54,32.26,1.005,24.56,1.56,0.172,6.95,0.0119,20.12
SYF,FINANCE,2023-09-30,1.614,5.37,6.29,0.177,1.26,0.461,0.308,5.43,0.0329,-
MOS,LIFE SCIENCES,2023-09-30,1.565,8.51,4.753,0.114,1.335,0.197,0.088,3.95,0.0238,3.218
UDR,REAL ESTATE & CONSTRUCTION,2023-09-30,0.797,23.74,16.45,0.0979,3.382,-4.53,0.278,1.38,0.0513,18.99
DKNG,TRADE & SERVICES,2023-09-30,1.806,-,-,-0.894,4.366,None,-0.304,-2.17,0,-4.157
CE,LIFE SCIENCES,2023-09-30,1.273,6.37,7.36,0.333,2.216,7.85,0.189,18.59,0.0236,5.1
L,FINANCE,2023-09-30,0.804,10.03,-,0.111,0.969,2.69,0.0993,6.57,0.0038,-
LII,TECHNOLOGY,2023-09-30,0.965,26.18,17.51,0,-,2.079,0.11,15.15,0.0109,15.73
GLPI,REAL ESTATE & CONSTRUCTION,2023-09-30,0.986,16.51,17.21,0.179,3.753,8.08,0.509,2.74,0.0635,16.29
EXAS,TRADE & SERVICES,2023-09-30,1.461,-,-,-0.0906,2.603,-1.07,-0.117,-1.58,0.0209,-18.94
ELS,REAL ESTATE & CONSTRUCTION,2023-09-30,0.711,41.56,41.15,0.205,8.52,6.68,0.201,1.58,0.0273,25.55
GDDY,TECHNOLOGY,2023-09-30,0.905,37.94,40.49,0.68,24.35,1.559,0.0845,2.31,0,22.1
WPC,REAL ESTATE & CONSTRUCTION,2023-09-30,0.863,14.87,-,0.0861,2.333,0,0.448,3.64,0.0791,18.97
VST,ENERGY & TRANSPORTATION,2023-09-30,0.935,10.14,7.04,0.257,2.705,0.829,0.0919,3.4,0.0247,10.83
AMH,REAL ESTATE & CONSTRUCTION,2023-09-30,0.705,33.56,28.49,0.0606,1.767,29.82,0.245,1.04,0.0252,19.55
MAS,MANUFACTURING,2023-09-30,1.204,15.31,13.51,0,259.51,1.778,0.104,3.67,0.0203,10.84
CNHI,TECHNOLOGY,2023-09-30,1.689,5.76,10.46,0.325,3.432,31.71,0.0945,1.73,0.0398,9.6
OC,MANUFACTURING,2023-09-30,1.487,9.55,8.78,0.241,1.89,0.821,0.123,13.01,0.0167,4.667
DT,TECHNOLOGY,2023-09-30,1.092,87.09,42.92,0.106,8.38,1.864,0.131,0.58,0,87.53
BILL,TECHNOLOGY,2023-09-30,1.97,-,227.27,-0.0416,3.234,7.51,-0.15,-1.59,0,-52.88
CHK,ENERGY & TRANSPORTATION,2023-09-30,0.657,2.143,4.983,0.654,2.093,0.238,0.687,36.91,0.0785,1.69
VTRS,LIFE SCIENCES,2023-09-30,1.165,6.09,3.353,0.0915,0.681,None,0.118,1.51,0.0522,6.97
SJM,MANUFACTURING,2023-07-31,0.324,-,18.42,-0.0023,2.001,2.787,-0.0021,-0.1,0.039,15.39
EVRG,ENERGY & TRANSPORTATION,2023-09-30,0.551,16.69,17.54,0.0715,1.506,3.059,0.122,2.96,0.052,11.49
IPG,TRADE & SERVICES,2023-09-30,1.166,12.13,13.66,0.263,3.817,16.25,0.0996,2.39,0.0428,9.15
HST,REAL ESTATE & CONSTRUCTION,2023-10-31,1.294,15.63,17.95,0.11,1.845,0.527,0.144,1.05,0.0439,9.83
SSNC,TECHNOLOGY,2023-09-30,1.413,21.81,10.29,0.104,2.317,1.857,0.114,2.42,0.0182,11.24
NBIX,LIFE SCIENCES,2023-09-30,0.394,56.41,28.82,0.108,7.3,1.87,0.107,1.9,0.0111,98.51
RNR,FINANCE,2023-09-30,0.345,6.89,9.07,0.208,1.919,-3.13,0.18,30.48,0.0072,-
TPL,REAL ESTATE & CONSTRUCTION,2023-09-30,1.775,32.15,40.98,0.465,27.69,0,0.635,51.04,0.0079,33.65
KMX,TRADE & SERVICES,2023-08-31,1.479,22.16,14.03,0.0794,1.976,0.98,0.0159,2.86,0.0099,17.92
JKHY,TECHNOLOGY,2023-09-30,0.641,29.96,36.63,0.232,9.02,3.286,0.171,4.94,0.0139,20.25
LBRDK,TECHNOLOGY,2023-09-30,1.161,18.18,12.66,0.0752,1.527,0,0.674,4.55,0,7.7
TECH,LIFE SCIENCES,2023-09-30,1.22,37.82,42.19,0.132,7.78,1.148,0.216,1.52,0.0056,30.43
CDAY,TECHNOLOGY,2023-09-30,1.424,2181.67,57.8,0.0019,5.18,5.36,0.0028,0.03,0,273.16
REG,REAL ESTATE & CONSTRUCTION,2023-09-30,1.2,28.51,30.3,0.0559,1.839,5.02,0.282,2.12,0.0443,16.33
HEIA,,,,,,,,,,,,
MGM,REAL ESTATE & CONSTRUCTION,2023-09-30,2.175,13,51.55,0.118,2.929,4.2,0.0726,2.98,0.0003,10.38
INCY,TRADE & SERVICES,2023-09-30,0.719,27.89,14.95,0.0928,3.823,0.466,0.118,1.88,0.0059,18.63
NI,ENERGY & TRANSPORTATION,2023-09-30,0.502,16.67,18.02,0.0948,2.001,1.926,0.125,1.5,0.04,11.8
UTHR,LIFE SCIENCES,2023-09-30,0.57,12.28,14.53,0.175,2.801,1.024,0.408,18.14,0.0635,11.1
ZBRA,TECHNOLOGY,2023-09-30,1.728,23.04,13.95,0.164,5.08,1.633,0.0916,8.95,0.0019,14.61
ACM,TRADE & SERVICES,2023-06-30,1.295,57.78,22.68,0.0889,4.76,1.396,0.0097,1.39,0.009,16.13
SRPT,LIFE SCIENCES,2023-09-30,0.955,-,-,-1.156,25.74,159.25,-0.625,-7.8,0.0126,-17.47
KIM,REAL ESTATE & CONSTRUCTION,2023-09-30,1.475,25.21,30.58,0.0485,1.403,4.252,0.262,0.71,0.0536,23.96
TAP,MANUFACTURING,2023-09-30,0.939,50.4,12.77,0.0194,0.87,2.423,0.0221,1.17,0.0278,11.14
SAIA,ENERGY & TRANSPORTATION,2023-09-30,1.548,31.45,19.34,0.201,4.196,1.68,0.121,12.59,0.0281,10.06
RPRX,LIFE SCIENCES,2023-09-30,0.423,69.79,10.85,0.0372,2.994,-0.02,0.0793,0.39,0.0294,21.32
LSCC,MANUFACTURING,2023-09-30,1.259,37.47,36.5,0.398,22.68,3.18,0.286,1.52,0.0136,51.17
WSM,TRADE & SERVICES,2023-07-31,1.533,10.29,7.6,0.665,5.43,0.883,0.117,14.42,0.0243,5.1
LECO,TECHNOLOGY,2023-09-30,1.153,21.94,16.95,0.463,9.23,1.249,0.122,8.54,0.0152,14.46
PNR,TECHNOLOGY,2023-09-30,1.177,19.87,12.2,0.18,2.857,1.255,0.124,3.09,0.0143,13.69
CPT,REAL ESTATE & CONSTRUCTION,2023-09-30,0.854,43.35,54.35,0.0466,2.469,8.96,0.148,2.04,0.0452,10.8
REXR,REAL ESTATE & CONSTRUCTION,2023-09-30,0.889,42.94,-,0.0317,1.716,9.31,0.283,1.05,0.0337,31.19
CASY,TRADE & SERVICES,2023-07-31,0.79,22.38,23.58,0.18,3.627,2.201,0.0319,12.33,0.0062,11.48
EQH,FINANCE,2023-09-30,1.409,5.73,5.2,0.44,6.18,None,0.142,4.64,0.0331,-
FNF,FINANCE,2023-09-30,1.323,27.46,7.36,0.0762,1.81,10.83,0.0387,1.6,0.041,-
GL,FINANCE,2023-09-30,0.778,14.42,12.71,0.174,2.633,None,0.146,8.09,0.0077,-
BSY,TECHNOLOGY,2023-09-30,1.18,94.36,42.73,0.285,21.83,3.566,0.143,0.55,0.0039,44.02
PSTG,TECHNOLOGY,2023-07-31,1.195,-,21.69,-0.001,10.9,5.57,-0.0003,-0.01,0,55.99
MTCH,TRADE & SERVICES,2023-09-30,1.625,16.78,16.08,0.499,10.97,0.525,0.154,1.77,0.0211,29.37
CRL,TRADE & SERVICES,2023-09-30,1.348,18.34,17.39,0.16,4.151,1.195,0.113,9.24,0.024,16.14
BFB,,,,,,,,,,,,
UNM,FINANCE,2023-09-30,1.05,7.5,6.29,0.126,0.909,2.5,0.0938,5.79,0.0336,-
CHRW,ENERGY & TRANSPORTATION,2023-09-30,0.788,23.8,16.1,0.253,6.75,2.706,0.0212,3.36,0.0305,9.25
KEY,FINANCE,2023-09-30,1.269,8.9,7.7,0.097,1.478,0.965,0.213,1.23,0.0749,-
RGA,FINANCE,2023-09-30,0.861,9.59,8.54,0.193,2.531,1.57,0.0636,16.91,0.021,-
DOX,TECHNOLOGY,2023-09-30,0.685,17.87,15.04,0.152,3.059,1.156,0.111,4.49,0.0217,11.97
PEAK,REAL ESTATE & CONSTRUCTION,2023-09-30,0.979,36.23,56.5,0.038,2.119,3.191,0.112,0.44,0.0753,14.63
KNSL,FINANCE,2023-09-30,0.899,30.57,31.95,0.352,10.2,1.77,0.247,11.69,0.0016,-
HSIC,TRADE & SERVICES,2023-06-30,0.841,18.73,16.47,0.0996,3.122,1.937,0.0364,3.42,0.0157,11.35
TW,FINANCE,2023-09-30,0.943,54.22,29.94,0.0736,2.758,1.466,0.289,1.72,0.0039,20.49
EME,REAL ESTATE & CONSTRUCTION,2023-09-30,1.122,18.42,-,0.266,3.818,1.32,0.0453,11.44,0.0034,11.39
NRG,ENERGY & TRANSPORTATION,2023-09-30,0.979,-,7.06,-0.411,1.45,0.525,-0.0596,-7.7,0.0332,4.105
GEN,TECHNOLOGY,2023-09-30,1.069,8.65,11.7,0.69,8.82,1.017,0.375,2.23,0.0259,22.43
TWLO,TECHNOLOGY,2023-09-30,1.339,-,400,-0.0858,0.893,44.96,-0.214,-4.77,0,-7.83
HRL,MANUFACTURING,2023-07-31,0.268,20.31,24.63,0.116,3.373,3.334,0.072,1.6,0.0338,17.29
WYNN,REAL ESTATE & CONSTRUCTION,2023-09-30,2.018,305.32,116.28,-5.61,13.94,0.528,0.0058,0.28,0.0117,52.27
ACI,TRADE & SERVICES,2023-08-31,0.367,10.49,7.02,0.38,2.539,1.433,0.0174,2.02,0.0227,4.323
WRK,MANUFACTURING,2023-09-30,1.107,-,9.56,-0.153,0.821,2.091,-0.0812,-6.44,0.0317,5.48
ROL,TRADE & SERVICES,2023-09-30,0.674,46.27,45.66,0.357,15.85,4.446,0.138,0.83,0.0156,34.11
BJ,TRADE & SERVICES,2023-07-31,0.365,18.31,19.01,0.487,10.02,1.899,0.0261,3.73,0,14.17
PODD,LIFE SCIENCES,2023-09-30,0.826,90.17,256.41,0.232,49.06,3.323,0.0771,1.72,0.0068,178.89
FFIV,TECHNOLOGY,2023-09-30,1.029,24.28,12.84,0.15,3.655,0.818,0.14,6.55,0.0329,16.7
TFX,LIFE SCIENCES,2023-09-30,1.035,23.26,22.27,0.0985,2.978,3.13,0.137,8.55,0.0068,34.4
ALLE,TRADE & SERVICES,2023-09-30,1.139,16.38,18.08,0.55,12.19,2.033,0.154,6.32,0.0174,17.69
QRVO,MANUFACTURING,2023-09-30,1.483,-,13.51,-0.0247,2.368,2.554,-0.0321,-0.92,0,8.91
BWA,MANUFACTURING,2023-09-30,1.427,7.9,8.59,0.159,1.423,0.601,0.0423,4.1,0.0136,6.48
FTI,TECHNOLOGY,2023-09-30,1.735,-,19.05,-0.0049,1.582,14.01,-0.0046,-0.05,0.0093,12.82
FIVE,TRADE & SERVICES,2023-07-31,1.181,36.21,30.86,0.209,8.4,1.425,0.0836,4.88,0,27.89
TTC,TECHNOLOGY,2023-07-31,0.773,23.41,21.64,0.273,9.22,1.34,0.0795,3.58,0.0162,20.74
MKTX,FINANCE,2023-09-30,0.912,33.78,37.74,0.224,10.38,2.784,0.338,6.6,0.0129,25.92
NTNX,TECHNOLOGY,2023-07-31,1.245,-,666.67,0,-,0.6,-0.137,-1.09,0,-24.91
AES,ENERGY & TRANSPORTATION,2023-09-30,1.053,-,16.72,-0.0787,7.6,2.127,-0.0439,-0.84,0.0423,30.85
QGEN,LIFE SCIENCES,2023-09-30,0.4,26.24,23.75,0.138,3.405,8.46,0.248,1.45,0.0258,14.09
AOS,MANUFACTURING,2023-09-30,1.252,36.23,18.12,0.165,5.15,1.812,0.0787,2.01,0.0176,12.14
HII,MANUFACTURING,2023-09-30,0.604,17.37,15.62,0.156,3.055,1.225,0.0478,13.24,0.0226,10.64
CZR,REAL ESTATE & CONSTRUCTION,2023-09-30,2.904,13.2,23.53,0.167,2.778,1.16,0.0616,3.28,0,9.17
FND,TRADE & SERVICES,2023-09-30,1.954,30.56,24.45,0.16,5.33,2.2,0.063,2.59,0,19.79
IBKR,FINANCE,2023-09-30,0.777,29.03,16.5,0.224,2.739,1.81,0.136,2.837,0.0049,7.19
BXP,REAL ESTATE & CONSTRUCTION,2023-09-30,1.206,42.63,24.63,0.0358,1.769,7.05,0.0648,1.23,0.0748,11.08
NLY,REAL ESTATE & CONSTRUCTION,2023-09-30,1.477,-,5.82,-0.197,1.087,-3.61,0,-5.26,0.153,-
RRX,MANUFACTURING,2023-09-30,1.095,-,10.81,-0.0013,1.291,1.081,-0.002,-0.18,0.0127,11.17
RGEN,LIFE SCIENCES,2023-09-30,1.058,72.69,56.5,0.0606,5.37,2.59,0.173,2.03,0.0268,38.2
EMN,LIFE SCIENCES,2023-09-30,1.494,15.49,10.92,0.108,1.924,2.918,0.0624,4.98,0.041,6.97
PNW,ENERGY & TRANSPORTATION,2023-09-30,0.51,16.94,18.83,0.077,1.44,39.15,0.101,4.16,0.0496,10.48
CUBE,REAL ESTATE & CONSTRUCTION,2023-09-30,0.659,21.68,31.75,0.132,3.319,6.31,0.362,1.68,0.0538,18.87
XPO,ENERGY & TRANSPORTATION,2023-09-30,1.974,101.35,9.01,0.0657,2.439,1.185,0.0049,0.82,0.0307,4.397
CCK,MANUFACTURING,2023-09-30,1.093,18.92,11.68,0.254,6.01,6.37,0.0417,4.25,0.0119,51.22
USD,,,,,,,,,,,,
ATR,MANUFACTURING,2023-09-30,0.614,29.86,26.81,0.137,3.763,2.082,0.0816,4.21,0.013,13.28
TTEK,TRADE & SERVICES,2023-06-30,1.002,27.38,29.33,0.228,7.02,2.231,0.0883,5.64,0.0067,22.05
NVT,TECHNOLOGY,2023-09-30,1.311,18.25,15.87,0.168,2.445,1.971,0.15,2.81,0.0137,14.45
KBR,REAL ESTATE & CONSTRUCTION,2023-09-30,1.116,-,17.21,-0.119,4.53,1.127,-0.0282,-1.49,0.0103,17.48
PFGC,TRADE & SERVICES,2023-09-30,1.353,22.67,17.15,0.117,2.781,0.666,0.0079,2.69,0,14.73
CTLT,LIFE SCIENCES,2023-06-30,1.263,-,13.19,-0.0493,1.771,1.177,-0.0543,-1.29,0,11.84
MTN,TRADE & SERVICES,2023-07-31,1.184,32.76,33.0,0.179,8.36,2,0.0928,6.75,0.0373,14.51
FOXA,TECHNOLOGY,2023-09-30,0.872,14.7,9.17,0.094,1.498,2.154,0.0697,2.05,0.0173,8.35
WSC,TRADE & SERVICES,2023-09-30,1.499,21.45,29.5,0.237,5.77,1.966,0.203,1.71,0,15.27
RRC,ENERGY & TRANSPORTATION,2023-09-30,2.099,5.97,5.08,0.49,2.954,1.466,0.446,5.51,0.0097,4.628
NOV,TECHNOLOGY,2023-09-30,1.884,15.32,17.54,0.0932,1.634,-0.31,0.06,1.26,0.0104,20.98
USFD,TRADE & SERVICES,2023-09-30,1.507,23.61,13.0,0.0988,2.041,0.692,0.0129,1.8,0,14.45
DOCU,TECHNOLOGY,2023-07-31,0.883,-,27.03,-0.0272,21.1,1.536,-0.0064,-0.09,0,-316.26
PCTY,TECHNOLOGY,2023-09-30,1.051,58.56,76.92,0.193,18.47,2.443,0.117,2.55,0,86.88
ITT,TECHNOLOGY,2023-09-30,1.411,19.62,15.8,0.195,3.241,1.155,0.135,5.24,0.0113,12.34
JNPR,TECHNOLOGY,2023-09-30,0.932,24.23,14.62,0.0845,2.475,1.185,0.0649,1.12,0.0324,14.81
ROKU,TECHNOLOGY,2023-09-30,1.741,-,57.8,-0.342,2.594,None,-0.258,-6.19,0,-45.32
WTRG,ENERGY & TRANSPORTATION,2023-09-30,0.768,18.71,25.64,0.0848,2.393,3.665,0.209,1.8,0.0365,19.72
APP,TECHNOLOGY,2023-09-30,1.83,141.71,5.99,0.0705,2.08,0.299,0.0346,0.28,0,10.46
RHI,TRADE & SERVICES,2023-09-30,1.266,17.42,13.07,0.307,5.5,1.373,0.0709,4.42,0.0249,7.47
CLH,ENERGY & TRANSPORTATION,2023-09-30,1.382,24.21,16.03,0.18,3.495,188.43,0.0677,6.66,0.032,9.06
AR,ENERGY & TRANSPORTATION,2023-09-30,3.491,9.36,3.425,0.15,1.537,0.419,0.169,2.75,0.0332,4.014
U,TECHNOLOGY,2023-09-30,2.451,-,1428.57,-0.303,5.95,None,-0.423,-2.33,0,-22.05
NWSA,MANUFACTURING,2023-09-30,1.363,87.17,27.62,0.0205,1.366,10.01,0.014,0.24,0.0096,9.68
JAZZ,LIFE SCIENCES,2023-09-30,0.728,144.82,9.11,0.0257,3.613,3.994,0.0211,0.83,0.0275,16.96
WEX,TRADE & SERVICES,2023-09-30,1.596,27.87,11.38,0.163,4.25,1.515,0.108,6.16,0.0223,12.01
SCI,TRADE & SERVICES,2023-09-30,0.792,18.11,19.84,0.297,6.36,1.653,0.121,3.2,0.02,10.98
LEA,MANUFACTURING,2023-09-30,1.611,13.46,9.9,0.136,1.791,0.36,0.0245,9.47,0.0242,8.82
GLOB,TECHNOLOGY,2023-06-30,1.311,50.2,65.36,0.0973,5.37,1.67,0.0774,3.46,0,38.13
WMS,MANUFACTURING,2023-09-30,1.425,18.99,15.29,0.457,6.19,1.66,0.169,5.96,0.0049,10.22
AFG,FINANCE,2023-09-30,0.804,10.66,19.08,0.219,2.944,2.78,0.119,10.17,0.0262,-
CHDN,TRADE & SERVICES,2023-09-30,1.08,25.2,-,0.48,13.82,2.58,0.151,4.72,0.0032,12.98
OHI,REAL ESTATE & CONSTRUCTION,2023-09-30,0.962,32.39,10.39,0.0617,1.888,1.13,0.272,0.98,0.0844,12.27
CELH,MANUFACTURING,2023-09-30,1.846,120.63,111.11,0.162,148.79,0,0.135,1.43,0.0059,-75.41
AIZ,FINANCE,2023-09-30,0.496,16.6,9.27,0.123,1.619,1.46,0.0489,9.82,0.0177,-
CW,TECHNOLOGY,2023-09-30,1.186,23.26,86.21,0.169,3.449,2.71,0.122,8.92,0.0038,15.77
AAL,ENERGY & TRANSPORTATION,2023-09-30,1.582,4.937,8.33,0,-,0.627,0.0304,2.39,0.0303,-361.05
FMC,LIFE SCIENCES,2023-09-30,0.897,10.9,15.5,0.184,5.01,1.846,0.1,4.7,0.0453,16.26
TOL,REAL ESTATE & CONSTRUCTION,2023-07-31,1.476,5.83,5.95,0.256,0.955,2.588,0.147,13.77,0.0105,5.11
CACI,TECHNOLOGY,2023-09-30,0.996,19.84,14.33,0.121,2.274,3.38,0.0549,16.43,0.0173,14.01
ETSY,TRADE & SERVICES,2023-09-30,2.017,25.6,37.59,-12.24,21.42,3.564,0.123,2.47,0,35.6
WWD,MANUFACTURING,2023-06-30,1.435,40.8,27.25,0.102,2.921,1.817,0.0734,3.31,0.0065,17.59
CLF,ENERGY & TRANSPORTATION,2023-09-30,2.163,24.7,6.52,0.0492,1.151,-0.22,0.0155,0.67,0.0345,2.839
PRI,FINANCE,2023-09-30,1.163,15.85,10.83,0.24,3.22,1.05,0.166,12.97,0.0127,-
BURL,TRADE & SERVICES,2023-07-31,1.224,32.27,29.33,0.364,19.89,3.913,0.0292,4.05,0,30.04
BLD,REAL ESTATE & CONSTRUCTION,2023-09-30,1.585,14.1,11.31,0.288,2.84,0,0.118,19.24,0,8.06
UHS,LIFE SCIENCES,2023-09-30,1.279,13.48,12.21,0.112,1.596,1.87,0.0482,9.66,0.0062,8.94
AGCO,TECHNOLOGY,2023-09-30,1.402,7.54,10.13,0.293,2.813,1.933,0.0796,15.39,0.01,9.11
FBIN,REAL ESTATE & CONSTRUCTION,2023-09-30,1.6,17.33,-,0.172,-,None,0.0942,3.52,0.0151,-
DINO,ENERGY & TRANSPORTATION,2023-09-30,1.377,4.678,5.67,0.232,1.085,0.146,0.0673,11.5,0.0335,3.132
HEI,MANUFACTURING,2023-07-31,1.171,57.41,51.81,0.145,8.72,4.7,0.15,2.88,0.0012,33.47
CPB,MANUFACTURING,2023-07-31,0.348,14.18,19.57,0.245,4.86,3.304,0.0917,2.85,0.0366,13.74
OLED,MANUFACTURING,2023-09-30,1.356,36.12,28.9,0.159,4.536,0.963,0.351,4.31,0.009,17.02
NYCB,FINANCE,2023-09-30,1.149,2.378,7.97,0.316,0.966,0.524,1.011,3.91,0.0731,-
SOFI,REAL ESTATE & CONSTRUCTION,2023-09-30,1.89,-,-,-0.0715,0.842,None,-0.204,-0.45,0,-
X,MANUFACTURING,2023-09-30,2.089,7.4,6.19,0.106,0.57,1.68,0.063,4.64,0.0058,1.325
KNX,ENERGY & TRANSPORTATION,2023-09-30,1.197,21.31,13.68,0.0538,1.351,4.426,0.0542,2.34,0.0112,5.99
SWN,ENERGY & TRANSPORTATION,2023-09-30,1.398,1.41,3.255,1.287,4.574,0.155,0.623,4.61,0.0287,4.441
GWRE,TECHNOLOGY,2023-07-31,1.154,-,2000,-0.0844,4.475,68.73,-0.124,-1.36,0,-25.76
DCI,TECHNOLOGY,2023-07-31,1.179,20.35,19.8,0.292,6.31,1.92,0.105,2.95,0.0169,13.81
BIO,LIFE SCIENCES,2023-09-30,0.913,-,28.01,-0.0189,1.517,1.074,-0.0586,-6.02,0.0171,-1.591
CHE,LIFE SCIENCES,2023-09-30,0.49,36.11,25.71,0.281,10.68,2.571,0.11,16.12,0.0027,19.58
COLD,REAL ESTATE & CONSTRUCTION,2023-09-30,0.578,-,121.95,-0.0264,2.061,4.026,-0.0393,-0.37,0.0352,29.19
ORI,FINANCE,2023-09-30,0.842,8.98,-,0.159,1.286,-0.85,0.12,3.11,0.0351,-
FRT,REAL ESTATE & CONSTRUCTION,2023-09-30,1.265,26.91,39.84,0.0945,3.189,3.31,0.257,3.44,0.0471,16.08
MAT,MANUFACTURING,2023-09-30,1.183,80.39,9.47,0.0416,3.087,0.754,0.0159,0.23,0.0388,8.35
GNTX,MANUFACTURING,2023-09-30,0.971,17.47,14.43,0.185,3.163,1.036,0.18,1.7,0.0162,13.44
EGP,REAL ESTATE & CONSTRUCTION,2023-09-30,0.983,42.52,-,0.0805,3.385,5.78,0.319,3.95,0.0302,21.19
HAS,MANUFACTURING,2023-09-30,0.745,-,10.82,-0.213,2.783,1.406,-0.103,-4.02,0.065,7.68
RGLD,REAL ESTATE & CONSTRUCTION,2023-09-30,0.647,30.26,26.88,0.11,2.68,1.41,0.425,3.54,0.014,14.5
DBX,TECHNOLOGY,2023-09-30,0.859,17.06,12.94,0.168,29.81,2.291,0.225,1.56,0,23.29
PEN,LIFE SCIENCES,2023-09-30,0.578,172.8,277.78,0.0391,8.77,-62.27,0.0408,1.05,0,-565.21
LAD,TRADE & SERVICES,2023-09-30,1.574,6.83,5.49,0.189,1.232,0.546,0.0341,37.62,0.0078,6.02
XP,FINANCE,2023-06-30,1.667,16.95,10.68,0.206,2.511,None,0.278,1.32,0.0261,1.249
MUSA,TRADE & SERVICES,2023-09-30,0.751,15.29,23.15,0.651,8.32,3.303,0.0268,23.81,0.0045,7.18
EWBC,FINANCE,2023-09-30,1.41,6.38,7.53,0.205,1.603,0.234,0.54,8.86,0.034,-
DAR,MANUFACTURING,2023-09-30,1.362,9.51,9.19,0.18,2.779,14.47,0.104,4.42,0.0994,9.88
