Ticker,Sector,LatestQuarter,Beta,TrailingPE,ForwardPE,ReturnOnEquityTTM,PriceToBookRatio,PEGRatio,ProfitMargin,EPS,DividendYield,EVToEBITDA
ELV,FINANCE,2023-09-30,0.851,17.82,15.9,0.165,3.452,1.384,0.0363,25.71,0.0129,-
RTX,MANUFACTURING,2023-09-30,0.705,37.99,19.08,0.0472,2.093,1.851,0.0476,2.17,0.0286,16.4
SBUX,TRADE & SERVICES,2023-09-30,0.976,29.14,30.03,0,-,1.726,0.115,3.58,0.0219,22.09
BA,MANUFACTURING,2023-09-30,1.478,-,29.5,0,-,6.53,-0.0374,-4.7,0.0865,-34.48
T,TECHNOLOGY,2023-09-30,0.708,-,7.28,-0.0776,1.1,4.605,-0.0929,-1.51,0.071,5.34
DE,TECHNOLOGY,2023-07-31,1.081,11.09,15.87,0.474,6.53,1.477,0.164,33.73,0.0144,16.21
ADP,TECHNOLOGY,2023-09-30,0.839,27.1,31.95,1.155,41.87,2.947,0.191,8.43,0.0245,24.22
TJX,TRADE & SERVICES,2023-07-31,0.914,26.74,22.47,0.663,16.17,2.026,0.0777,3.41,0.0146,18.33
PLD,REAL ESTATE & CONSTRUCTION,2023-09-30,1.031,33.3,48.31,0.0653,3.048,4.191,0.369,3.14,0.0333,20.07
GS,FINANCE,2023-09-30,1.429,15.7,9.21,0.0659,1.124,1.253,0.178,20.73,0.0338,-
LMT,MANUFACTURING,2023-09-30,0.6,16.28,17.95,0.656,10.63,3.585,0.103,27.32,0.0283,15.34
GILD,LIFE SCIENCES,2023-09-30,0.336,16.26,13.19,0.269,5.32,0.716,0.214,4.67,0.0395,17.34
ISRG,LIFE SCIENCES,2023-09-30,1.314,65.29,49.26,0.128,8.3,3.273,0.221,4.25,0.0019,45.76
MDT,LIFE SCIENCES,2023-07-31,0.722,26.08,14.88,0.0701,2.02,3.04,0.115,2.71,0.039,13.5
