Ticker,Price,Date,EPS,BVPS,PE,ROE,ROA,PB,ICR,DE,NPM,DY,DPR,EV,EV_EBITDA
SPG,110.45570373535156,2021-03-31,1.3597390802513047,12.25983643577227,20.30825349870383,0.5831070940101487,0.0519237985064529,9.009557697936266,2.9928916521463647,8.536074117079217,0.3602513325123331,0.0066497824333117,0.1350454673669223,61506982953.40004,16.707497950073353
SIRI,6.104775905609131,2021-03-31,0.0533495736906211,-0.6341047503045067,28.60742590470945,-0.3365347675758739,0.0877052462955546,-9.627393427785432,2.57,0.0034575489819439,0.111734693877551,0.0097365912512783,0.2785388127853881,24992105092.52548,16.061764198281157
SITE,172.5,2021-03-31,0.1666901572142723,18.144448869742742,258.7135360641892,0.0367473618870266,0.0155242041223055,9.507039934823093,1.8909090909090909,-0.0029795158286778,0.0114888992392485,0.0,0.0,7623020667.5,81.09596454787234
SKX,43.0,2021-03-31,0.636702450619437,18.28951413918278,16.88386779341199,0.1530559999130478,0.0658738037472145,2.351073936287809,32.11170731707317,0.3026537102761547,0.069501300862306,0.0,0.0,6152309000.0,9.34058791735999
SWKS,177.97052001953125,2021-03-31,1.968503937007874,28.542095699576013,22.60225604248047,0.2758737771364302,0.2267020089285714,6.23536974624379,,0.0381130233643868,0.2773510838026967,0.0112446229118088,0.2541538461538462,28502632855.22461,18.508203152743253
SMAR,72.19999694824219,2021-01-31,-0.2337443123440481,4.296761093986985,-77.22112703428164,-0.2176004736881059,-0.1257527783291968,16.80335382138909,,0.1688728462468378,-0.2639940321600265,0.0,-0.0,8500958425.750732,-123.62512980266902
AOS,68.10987091064453,2021-03-31,0.6048534393374997,11.447021589918494,28.15139440442207,0.2113574905354245,0.125788592764259,5.950008076391642,127.1,0.0769064359113034,0.1272135416666666,0.0153432717094515,0.4319344933469805,10565264933.248146,18.01716393800844
SJM,111.13229370117188,2021-01-31,2.3816029143897994,74.78688524590164,11.665703487943285,0.1273807784110283,0.0636663542186568,1.485986391006463,,0.5890082322568074,0.1237576904874585,0.0335673710970509,0.3915869980879541,16537525848.388672,9.864904466946236
SNA,226.6037139892578,2021-03-31,3.5535055350553506,71.91697416974169,15.942265444207909,0.1987616099071207,0.1154416722859069,3.1509072316421083,18.6013986013986,0.3743034055727554,0.1730147323032698,0.0217229856405866,0.3463136033229491,12828121298.217772,11.7905526638031
SON,62.27043533325195,2021-03-31,0.7186080491417098,18.90921108869164,21.66356033989128,0.1520122750274784,0.0547626757562846,3.293127092461928,6.207394194908384,1.020958799915265,0.0543117669860902,0.0288224362250352,0.6243965863037194,7619580687.572479,14.77625098430854
SO,59.07100296020508,2021-03-31,1.0716981132075472,31.470754716981133,13.77976741589291,0.1362151143619413,0.0362380675157305,1.877012594436805,3.551111111111111,1.5326298749962528,0.1922165820642978,0.0433121233401325,0.596830985915493,111972263137.81738,17.397803470760937
SCCO,64.50541687011719,2021-03-31,0.9879705083430346,9.733669641702235,16.322708098418303,0.4060012491528352,0.1774442727874641,6.62703987751493,15.084821428571429,0.8697558836427423,0.310109622411693,0.0373056379703595,0.608929039015449,54146837782.2876,8.694655691163144
LUV,61.90999984741211,2021-03-31,0.1962774957698815,15.385786802030458,78.85519377116499,0.0510282634993951,0.0130730003099202,4.023843606050869,1.9320388349514563,1.4060266138788078,0.0595177013853258,0.0,0.0,37402809909.82056,16.66791885464374
SWN,4.590000152587891,2021-03-31,0.1184509321714501,0.8676530781558721,9.687555995642484,0.5460750853242321,0.0609872307985515,5.290132966903745,3.5806451612903225,5.151877133105802,0.0941176470588235,0.0,0.0,6115017918.605595,3.802871839928853
SPB,83.68953704833984,2021-03-31,0.8591549295774648,35.08920187793427,24.35228332144316,0.0984135520301156,0.0277561854204189,2.38505102907364,0.6916030534351145,1.7856950793223985,0.0481388925424174,0.0200831696886804,0.4890710382513661,5931574278.259277,23.879123503459248
SPR,49.46549606323242,2021-03-31,-1.648414985590778,6.65225744476465,-7.501978642457015,-0.9911913357400722,-0.0872416685731716,7.435896231310462,-41.96666666666667,5.252707581227437,-0.1904973357015985,0.0008544754278528,-0.0064102564102564,7427558140.182495,-11.301823098269164
SRC,40.731910705566406,2021-03-31,-0.0352942242937601,30.666531208297982,-288.51682903233285,-0.0016669238729824,-0.0008776452580569,1.3282203464389497,0.9481295072115384,0.8260186504838505,-0.0108701282364345,0.0645178776243718,-51.40844111640572,7331924101.536697,22.263828803403065
SPLK,171.6300048828125,2021-01-31,-0.85535058019007,9.770352148191824,-50.1636430890928,-0.3501820885128968,-0.0951168665989831,17.566409304354057,-2.508705350676439,1.4445594587218986,-0.1872931424629367,0.0,-0.0,28532515263.18689,-162.5710239031092
SPOT,257.69000244140625,2021-03-31,0.1199067677960346,16.912067596971145,537.2715968788048,0.0283600493218249,0.0114470573597113,15.23704898669853,4.6,0.55980271270037,0.0107126222636236,0.0,0.0,48802986912.85004,160.5361411606909
SSNC,68.42182159423828,2021-03-31,0.6840046929996089,22.42549863120845,25.00780414757966,0.1220048132259077,0.041919576250367,3.051072474215536,5.235408560311284,1.1363921732761326,0.1418376449598572,0.0094195866845911,0.2355631789594053,23758059781.64673,12.999594977920074
STAG,32.815067291259766,2021-03-31,0.1563654589977142,16.96048831232469,52.46533905505861,0.0377107062021415,0.0210245306616895,1.9347949591412423,2.645722099231671,0.6948207092796383,0.185641255270719,0.0459712934468282,2.411899497487437,7035012235.9783325,17.75800746157697
SWK,198.0802459716797,2021-03-31,2.97351958879434,68.79903189169431,16.653685981937183,0.1762812398278418,0.0827283027034366,2.879113855606342,13.692631578947369,0.3840012297008933,0.1309933347667168,0.0150116917222501,0.2451784981534673,34846847597.4639,12.429322156321836
SBUX,109.83300018310548,2021-03-31,0.56,-6.495371549893843,49.0325893674578,-0.3446041285602299,0.0929658779699489,-16.909425325314995,8.738260869565217,-1.9138489678599424,0.0988902219556088,0.0163861974081517,0.8034576888080073,140096257715.6067,25.53518841418903
STWD,23.53668785095215,2021-03-31,0.3882774770337662,16.92438067967976,15.154553922854314,0.0995143473263192,0.0055896990605907,1.390697142567317,2.09899974848608,0.3876952204468219,0.387765901890471,0.0815618890871433,1.2360340462209771,8136003627.278671,8.494257428586746
STT,84.16810607910156,2021-03-31,1.4912379769800093,71.84663894871895,14.11044168978904,0.0830233953209358,0.0065512725436672,1.1714967785643688,157.75,0.0492701459708058,0.1759322033898305,0.0285389716378938,0.4026974951830443,25973276948.002045,9.424265946299728
