,Company,Ticker,GICS Sector,GICS Sub-Industry
160,CACI,CACI,Industrials,Diversified Support Services
161,Cadence,CDNS,Information Technology,Application Software
162,Caesars Entertainment,CZR,Consumer Discretionary,Casinos & Gaming
163,Camden Property Trust,CPT,Real Estate,Residential REITs
164,Campbell's,CPB,Consumer Staples,Packaged Foods & Meats
165,Capital One,COF,Financials,Consumer Finance
166,Capri Holdings,CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
167,Cardinal Health,CAH,Health Care,Health Care Distributors
168,Carlisle Companies,CSL,Industrials,Industrial Conglomerates
169,Carlyle Group (The),CG,Financials,
170,CarMax,KMX,Consumer Discretionary,Automotive Retail
171,Carnival,CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
172,Carrier,CARR,Industrials,Building Products
173,Carter's,CRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
174,Casey's,CASY,Consumer Staples,Food Retail
175,Catalent,CTLT,Health Care,Pharmaceuticals
176,Caterpillar,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment
177,Cava Group,CAVA,Consumer Discretionary,Restaurants
178,Cboe,CBOE,Financials,Financial Exchanges & Data
179,CBRE Group,CBRE,Real Estate,Real Estate Services
180,CCC Intelligent Solutions,CCCS,Information Technology,
181,CDW,CDW,Information Technology,Technology Distributors
182,Celanese,CE,Materials,Specialty Chemicals
183,Celsius Holdings,CELH,Consumer Staples,
184,Cencora,COR,Health Care,Health Care Distributors
185,Centene,CNC,Health Care,Managed Health Care
186,Centerpoint Energy,CNP,Utilities,Multi-Utilities
187,Ceridian,CDAY,Information Technology,Application Software
188,Certara,CERT,Health Care,
189,CF Industries,CF,Materials,Fertilizers & Agricultural Chemicals
190,ChargePoint,CHPT,Industrials,
191,Charles River,CRL,Health Care,Life Sciences Tools & Services
192,Charles Schwab,SCHW,Financials,Investment Banking & Brokerage
193,Charter Communications,CHTR,Communication Services,Cable & Satellite
194,Chemed Corporation,CHE,Health Care,Health Care Services
195,Chemours,CC,Materials,Diversified Chemicals
196,Cheniere,LNG,Energy,
197,Chesapeake Energy,CHK,Energy,
198,Chevron,CVX,Energy,Integrated Oil & Gas
199,Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants
200,Choice Hotels,CHH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
201,Chubb,CB,Financials,Property & Casualty Insurance
202,Church & Dwight,CHD,Consumer Staples,Household Products
203,Churchill Downs Inc.,CHDN,Consumer Discretionary,Casinos & Gaming
204,Ciena,CIEN,Information Technology,Communications Equipment
205,Cigna,CI,Health Care,Managed Health Care
206,Cincinnati Financial,CINF,Financials,Property & Casualty Insurance
207,Cintas,CTAS,Industrials,Diversified Support Services
208,Cirrus Logic,CRUS,Information Technology,Semiconductors
209,Cisco,CSCO,Information Technology,Communications Equipment
210,Citigroup,C,Financials,Diversified Banks
211,Citizens,CFG,Financials,Regional Banks
212,Clarivate,CLVT,Industrials,
213,Clean Harbors,CLH,Industrials,Environmental & Facilities Services
214,Clearway Energy (Class A),CWEN.A,Utilities,
215,Clearway Energy (Class C),CWEN,Utilities,
216,Cleveland-Cliffs,CLF,Materials,Steel
217,Clorox,CLX,Consumer Staples,Household Products
218,Cloudflare,NET,Information Technology,
219,CME Group,CME,Financials,Financial Exchanges & Data
220,CMS Energy,CMS,Utilities,Multi-Utilities
221,CNA Financial,CNA,Financials,
222,CNH Industrial,CNHI,Industrials,
223,Coca-Cola,KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
224,Cognex,CGNX,Information Technology,Electronic Equipment & Instruments
225,Cognizant,CTSH,Information Technology,IT Consulting & Other Services
226,Coherent Corp.,COHR,Information Technology,Electronic Components
227,Coinbase,COIN,Financials,
228,Colgate-Palmolive,CL,Consumer Staples,Household Products
229,Columbia Banking System,COLB,Financials,Regional Banks
230,Columbia Sportswear,COLM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
231,Comcast,CMCSA,Communication Services,Cable & Satellite
232,Comerica,CMA,Financials,Diversified Banks
233,Commerce Bancshares,CBSH,Financials,Regional Banks
234,Con Edison,ED,Utilities,Electric Utilities
235,Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats
236,Concentrix,CNXC,Information Technology,Data Processing & Outsourced Services
237,"Confluent, Inc.",CFLT,Information Technology,
238,ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production
239,Constellation Brands,STZ,Consumer Staples,Distillers & Vintners
240,Constellation Energy,CEG,Utilities,Multi-Utilities
241,CooperCompanies,COO,Health Care,Health Care Supplies
242,Copart,CPRT,Industrials,Diversified Support Services
